Coin,Target,Model,R2,MSE,MAE,Mean,Std,Var
Chainlink,percentChange24h,KNN,0.9475,0.7843,0.6685,-1.4290,3.9367,15.4976
Chainlink,percentChange24h,SVM,0.9125,1.3073,0.8413,-1.5247,3.5055,12.2889
Chainlink,percentChange24h,DecisionTree,0.9512,0.7288,0.6755,-1.4881,3.8057,14.4830
Chainlink,percentChange24h,RandomForest,0.9589,0.6135,0.5987,-1.4494,3.8128,14.5372
Chainlink,percentChange7d,LinearRegression,0.9035,13.8780,3.0979,7.4277,11.5646,133.7404
Chainlink,percentChange7d,KNN,0.9911,1.2866,0.7887,7.4102,12.0827,145.9912
Chainlink,percentChange7d,SVM,0.9712,4.1391,1.4074,7.0833,11.4434,130.9511
Chainlink,percentChange7d,DecisionTree,0.9883,1.6771,0.9485,7.3823,12.0989,146.3830
Chainlink,percentChange7d,RandomForest,0.9928,1.0322,0.7542,7.5497,11.9826,143.5836
Chainlink,percentChange30d,LinearRegression,0.6002,8.6185,2.3672,28.4848,3.9390,15.5154
Chainlink,percentChange30d,KNN,0.9196,1.7336,0.8962,28.4790,4.7102,22.1864
Chainlink,percentChange30d,SVM,0.8068,4.1641,1.4159,28.1480,4.1708,17.3954
Chainlink,percentChange30d,DecisionTree,0.9330,1.4451,0.9332,28.4936,4.6044,21.2002
Chainlink,percentChange30d,RandomForest,0.9433,1.2222,0.8071,28.4903,4.5844,21.0166
Chainlink,percentChange60d,LinearRegression,0.8156,7.2195,2.3495,16.6861,5.5531,30.8364
Chainlink,percentChange60d,KNN,0.9617,1.4997,0.7992,16.6740,6.2952,39.6301
Chainlink,percentChange60d,SVM,0.9355,2.5234,1.1482,16.9658,5.7705,33.2986
Chainlink,percentChange60d,DecisionTree,0.9633,1.4373,0.8782,16.6929,6.0771,36.9314
Chainlink,percentChange60d,RandomForest,0.9779,0.8653,0.6821,16.7382,6.1923,38.3443
Chainlink,percentChange90d,LinearRegression,0.8609,1.9425,1.0874,-14.3763,3.4842,12.1395
Chainlink,percentChange90d,KNN,0.9523,0.6661,0.5638,-14.3278,3.6429,13.2705
Chainlink,percentChange90d,SVM,0.9387,0.8565,0.6521,-14.5069,3.5558,12.6434
Chainlink,percentChange90d,DecisionTree,0.9557,0.6189,0.5752,-14.3842,3.7026,13.7092
Chainlink,percentChange90d,RandomForest,0.9581,0.5853,0.5504,-14.3702,3.6943,13.6480
XRP,price,LinearRegression,0.6934,0.0020,0.0338,2.4570,0.0686,0.0047
XRP,price,KNN,0.8718,0.0008,0.0191,2.4618,0.0799,0.0064
XRP,price,SVM,0.5529,0.0029,0.0471,2.4737,0.0602,0.0036
XRP,price,DecisionTree,0.8714,0.0008,0.0192,2.4608,0.0777,0.0060
XRP,price,RandomForest,0.8771,0.0008,0.0187,2.4605,0.0771,0.0059
XRP,volumeChange24h,LinearRegression,0.9613,145.7375,9.1057,-5.7349,59.0635,3488.4956
XRP,volumeChange24h,KNN,0.9855,54.7463,4.1178,-5.1264,58.2051,3387.8386
XRP,volumeChange24h,SVM,0.3998,2263.3357,19.7801,-20.8156,18.7961,353.2943
XRP,volumeChange24h,DecisionTree,0.9843,59.2220,4.5431,-4.4450,60.7000,3684.4932
XRP,volumeChange24h,RandomForest,0.9863,51.8317,3.7369,-4.2417,60.7546,3691.1270
XRP,percentChange1h,LinearRegression,0.0687,0.5111,0.5735,-0.0694,0.1529,0.0234
XRP,percentChange1h,KNN,-0.0033,0.5507,0.6231,-0.1472,0.4347,0.1890
XRP,percentChange1h,SVM,0.1461,0.4687,0.5152,-0.0701,0.3763,0.1416
XRP,percentChange1h,DecisionTree,0.1448,0.4694,0.5426,-0.1091,0.3556,0.1264
XRP,percentChange1h,RandomForest,0.1478,0.4677,0.5312,-0.1102,0.3594,0.1292
XRP,percentChange24h,LinearRegression,0.5602,4.9126,1.8363,-0.4458,2.4964,6.2322
XRP,percentChange24h,KNN,0.8471,1.7077,1.0017,-0.2843,3.0444,9.2681
XRP,percentChange24h,SVM,0.8150,2.0661,1.1232,-0.1912,2.6384,6.9613
XRP,percentChange24h,DecisionTree,0.8371,1.8190,1.0651,-0.3098,2.8838,8.3161
XRP,percentChange24h,RandomForest,0.8546,1.6241,0.9803,-0.2698,2.9698,8.8198
XRP,percentChange7d,LinearRegression,0.8080,12.9372,2.5703,8.9903,7.5350,56.7763
XRP,percentChange7d,KNN,0.9248,5.0677,1.1982,9.3749,8.2025,67.2816
XRP,percentChange7d,SVM,0.8997,6.7550,1.3640,8.8715,7.7818,60.5566
XRP,percentChange7d,DecisionTree,0.9259,4.9937,1.2058,9.2814,8.1771,66.8651
XRP,percentChange7d,RandomForest,0.9242,5.1097,1.2183,9.3025,8.1955,67.1658
XRP,percentChange30d,LinearRegression,0.4685,4.0429,1.6779,16.3568,2.0063,4.0252
XRP,percentChange30d,KNN,0.7710,1.7415,1.0221,16.4876,2.6964,7.2706
XRP,percentChange30d,SVM,0.7579,1.8411,1.0666,16.4791,2.4279,5.8949
XRP,percentChange30d,DecisionTree,0.7769,1.6971,1.0140,16.5332,2.5591,6.5489
XRP,percentChange30d,RandomForest,0.7883,1.6103,0.9927,16.5291,2.5425,6.4643
XRP,percentChange60d,LinearRegression,0.7758,3.9958,1.6384,4.4942,3.8041,14.4711
XRP,percentChange60d,KNN,0.9167,1.4845,0.9107,4.3423,4.2335,17.9228
XRP,percentChange60d,SVM,0.9088,1.6250,0.9118,4.2990,3.8185,14.5812
XRP,percentChange60d,DecisionTree,0.9283,1.2770,0.8702,4.3433,4.0194,16.1553
