Coin,Target,Model,R2,MSE,MAE,Mean,Std,Var
Cardano,volumeChange24h,SVM,-0.0099,1283.6966,19.6763,-19.7900,8.0025,64.0400
Cardano,volumeChange24h,DecisionTree,0.3851,781.5727,20.9644,-4.8177,22.3150,497.9606
Cardano,volumeChange24h,RandomForest,0.3856,780.9652,20.9712,-5.1128,21.6500,468.7208
Cardano,percentChange1h,LinearRegression,0.0514,0.9141,0.7525,-0.0855,0.2112,0.0446
Cardano,percentChange1h,KNN,0.0800,0.8866,0.7353,0.1041,0.4327,0.1872
Cardano,percentChange1h,SVM,0.0715,0.8948,0.7402,-0.0278,0.3960,0.1568
Cardano,percentChange1h,DecisionTree,0.1048,0.8627,0.7467,-0.0705,0.3869,0.1497
Cardano,percentChange1h,RandomForest,0.1054,0.8621,0.7467,-0.0632,0.3878,0.1504
Cardano,percentChange24h,LinearRegression,0.6400,2.8702,1.3864,-1.6056,2.0184,4.0738
Cardano,percentChange24h,KNN,0.6429,2.8471,1.2991,-1.5390,2.1532,4.6364
Cardano,percentChange24h,SVM,0.6286,2.9605,1.2637,-1.8048,2.1651,4.6877
Cardano,percentChange24h,DecisionTree,0.6594,2.7153,1.2690,-1.5984,2.1064,4.4370
Cardano,percentChange24h,RandomForest,0.6605,2.7069,1.2653,-1.5958,2.1191,4.4908
Cardano,percentChange7d,LinearRegression,0.8734,14.4915,2.9519,6.0154,10.4334,108.8559
Cardano,percentChange7d,KNN,0.9192,9.2426,2.4827,5.4549,10.6217,112.8203
Cardano,percentChange7d,SVM,0.9029,11.1124,2.6500,5.4818,10.0867,101.7412
Cardano,percentChange7d,DecisionTree,0.9274,8.3125,2.4981,6.1323,10.4360,108.9099
Cardano,percentChange7d,RandomForest,0.9273,8.3221,2.4995,6.1232,10.4099,108.3654
Cardano,percentChange30d,LinearRegression,0.2002,7.9329,2.1918,23.7123,1.4834,2.2004
Cardano,percentChange30d,KNN,0.5411,4.5517,1.6916,23.7321,2.4108,5.8119
Cardano,percentChange30d,SVM,0.5298,4.6641,1.6891,23.8006,1.9056,3.6313
Cardano,percentChange30d,DecisionTree,0.5402,4.5602,1.7624,23.7656,2.3474,5.5101
Cardano,percentChange30d,RandomForest,0.5407,4.5561,1.7602,23.7595,2.3326,5.4408
Cardano,percentChange60d,LinearRegression,0.4393,6.0323,1.9871,7.9690,2.2264,4.9571
Cardano,percentChange60d,KNN,0.5209,5.1542,1.7424,7.6882,2.2264,4.9568
Cardano,percentChange60d,SVM,0.4219,6.2201,1.7174,7.6776,1.7653,3.1164
Cardano,percentChange60d,DecisionTree,0.5435,4.9112,1.6979,7.9811,2.3791,5.6602
Cardano,percentChange60d,RandomForest,0.5416,4.9319,1.7027,8.0018,2.3799,5.6641
Cardano,percentChange90d,LinearRegression,0.6673,4.7225,1.7262,-1.9074,3.3069,10.9354
Cardano,percentChange90d,KNN,0.8192,2.5662,1.2547,-2.1311,3.6309,13.1836
Cardano,percentChange90d,SVM,0.8273,2.4510,1.2500,-1.9725,3.3969,11.5391
Cardano,percentChange90d,DecisionTree,0.8354,2.3366,1.2294,-1.8668,3.5035,12.2747
Cardano,percentChange90d,RandomForest,0.8352,2.3391,1.2300,-1.8709,3.5146,12.3521
Avalanche,price,LinearRegression,0.7406,0.2879,0.4455,23.8718,0.9651,0.9314
Avalanche,price,KNN,0.8946,0.1169,0.2520,23.8364,1.0734,1.1522
Avalanche,price,SVM,0.8974,0.1139,0.2472,23.8270,1.0110,1.0221
Avalanche,price,DecisionTree,0.9034,0.1072,0.2409,23.8553,1.0234,1.0473
Avalanche,price,RandomForest,0.9035,0.1071,0.2410,23.8576,1.0244,1.0494
Avalanche,volumeChange24h,LinearRegression,0.3344,773.8781,22.6208,-4.2180,18.9433,358.8468
Avalanche,volumeChange24h,KNN,0.6264,434.3646,12.0071,-7.9685,34.6086,1197.7520
Avalanche,volumeChange24h,SVM,0.1950,935.9900,21.0772,-14.6803,12.9584,167.9211
Avalanche,volumeChange24h,DecisionTree,0.7522,288.1685,12.4316,-3.8384,28.3198,802.0115
Avalanche,volumeChange24h,RandomForest,0.7517,288.7201,12.4464,-3.8268,28.2739,799.4139
Avalanche,percentChange1h,LinearRegression,0.0835,1.1144,0.8132,-0.1142,0.2921,0.0853
Avalanche,percentChange1h,KNN,-0.0488,1.2752,0.8728,-0.2815,0.3860,0.1490
Avalanche,percentChange1h,SVM,0.0985,1.0962,0.8048,-0.1063,0.3499,0.1224
Avalanche,percentChange1h,DecisionTree,0.0956,1.0997,0.8123,-0.1242,0.3309,0.1095
Avalanche,percentChange1h,RandomForest,0.0958,1.0994,0.8121,-0.1246,0.3294,0.1085
Avalanche,percentChange24h,LinearRegression,0.5549,9.1805,2.5002,-1.9387,3.3921,11.5066
Avalanche,percentChange24h,KNN,0.5563,9.1526,2.0337,-2.8834,3.6820,13.5568
Avalanche,percentChange24h,SVM,0.6775,6.6517,1.9276,-2.2452,3.3510,11.2294
Avalanche,percentChange24h,DecisionTree,0.7031,6.1244,1.8665,-2.0236,3.6730,13.4912
Avalanche,percentChange24h,RandomForest,0.7031,6.1246,1.8664,-2.0050,3.6768,13.5189
Avalanche,percentChange7d,LinearRegression,0.8896,21.1049,3.9007,9.4371,13.6797,187.1329
Avalanche,percentChange7d,KNN,0.9604,7.5738,2.0299,10.3143,13.1699,173.4475
Avalanche,percentChange7d,SVM,0.9440,10.7001,2.5251,9.1572,13.1514,172.9583
Avalanche,percentChange7d,DecisionTree,0.9637,6.9384,2.0727,9.3287,14.0345,196.9660
Avalanche,percentChange7d,RandomForest,0.9638,6.9236,2.0700,9.3412,14.0307,196.8608
Avalanche,percentChange30d,LinearRegression,0.5317,8.3348,2.1066,22.0330,3.3362,11.1304
Avalanche,percentChange30d,KNN,0.7020,5.3032,1.7448,21.7882,3.5809,12.8227
Avalanche,percentChange30d,SVM,0.6829,5.6431,1.7645,21.6591,3.2162,10.3441
Avalanche,percentChange30d,DecisionTree,0.7236,4.9187,1.6930,21.8900,3.6954,13.6563
Avalanche,percentChange30d,RandomForest,0.7229,4.9308,1.6955,21.8843,3.7034,13.7150
Avalanche,percentChange60d,LinearRegression,0.8155,8.8762,2.4151,25.9868,6.7298,45.2902
Avalanche,percentChange60d,KNN,0.8899,5.2976,1.7309,26.5149,6.5236,42.5580
Avalanche,percentChange60d,SVM,0.8927,5.1620,1.7247,25.9369,6.5503,42.9058
Avalanche,percentChange60d,DecisionTree,0.8977,4.9204,1.7177,25.9042,6.8241,46.5683
Avalanche,percentChange60d,RandomForest,0.8978,4.9159,1.7171,25.9114,6.8154,46.4494
Avalanche,percentChange90d,LinearRegression,0.5083,5.7912,1.9851,-7.0053,2.6360,6.9485
Avalanche,percentChange90d,KNN,0.7393,3.0712,1.3265,-7.1301,3.6153,13.0704
Avalanche,percentChange90d,SVM,0.7248,3.2419,1.3701,-7.5766,2.8278,7.9966
Avalanche,percentChange90d,DecisionTree,0.7801,2.5905,1.3236,-7.0388,3.1341,9.8223
Avalanche,percentChange90d,RandomForest,0.7798,2.5937,1.3219,-7.0554,3.1295,9.7938
Bittensor,price,LinearRegression,0.5624,100.7915,7.9540,436.5580,11.8761,141.0414
Bittensor,price,KNN,0.7665,53.7862,5.2141,437.1668,13.7720,189.6677
Bittensor,price,SVM,0.6888,71.6777,6.0195,437.9104,13.1207,172.1528
Bittensor,price,DecisionTree,0.7769,51.3952,4.8938,436.4550,13.9004,193.2212
Bittensor,price,RandomForest,0.7770,51.3592,4.8782,436.4317,13.9211,193.7982
Bittensor,volumeChange24h,LinearRegression,0.3042,734.9568,23.3821,-7.6999,16.1837,261.9114
Bittensor,volumeChange24h,KNN,0.9553,47.2685,4.2836,-9.4146,32.2367,1039.2066
Bittensor,volumeChange24h,SVM,0.2758,764.9699,18.0424,-18.2949,10.0232,100.4653
Bittensor,volumeChange24h,DecisionTree,0.9700,31.7368,3.9222,-8.5910,30.0088,900.5279
Bittensor,volumeChange24h,RandomForest,0.9689,32.8713,4.0070,-8.6241,29.8878,893.2806
Bittensor,percentChange1h,LinearRegression,0.0327,1.0862,0.7918,-0.2272,0.2096,0.0439
Bittensor,percentChange1h,KNN,0.0744,1.0394,0.7895,-0.4770,0.7628,0.5819
Bittensor,percentChange1h,SVM,0.1390,0.9668,0.7497,-0.1518,0.2690,0.0724
Bittensor,percentChange1h,DecisionTree,0.2782,0.8105,0.7265,-0.2491,0.5618,0.3157
Bittensor,percentChange1h,RandomForest,0.2994,0.7867,0.7106,-0.2503,0.5747,0.3303
Bittensor,percentChange24h,LinearRegression,-0.0002,11.8960,2.8993,-2.0719,0.7888,0.6223
Bittensor,percentChange24h,KNN,0.6593,4.0518,1.5731,-2.2441,2.8059,7.8733
Bittensor,percentChange24h,SVM,0.6097,4.6422,1.6449,-2.3992,2.1082,4.4445
Bittensor,percentChange24h,DecisionTree,0.7121,3.4237,1.4016,-2.2438,2.7483,7.5533
Bittensor,percentChange24h,RandomForest,0.7075,3.4789,1.4239,-2.2307,2.7391,7.5025
Bittensor,percentChange7d,LinearRegression,0.8130,25.0732,4.0997,6.6020,10.9420,119.7280
Bittensor,percentChange7d,KNN,0.9181,10.9783,2.3625,7.2560,11.2469,126.4917
Bittensor,percentChange7d,SVM,0.9067,12.5132,2.6990,5.9797,11.0384,121.8460
Bittensor,percentChange7d,DecisionTree,0.9227,10.3683,2.3126,6.6437,11.5849,134.2100
Bittensor,percentChange7d,RandomForest,0.9226,10.3715,2.3030,6.6253,11.5790,134.0722
Bittensor,percentChange30d,LinearRegression,0.2859,70.9174,6.7899,79.1482,5.5827,31.1667
Bittensor,percentChange30d,KNN,0.8731,12.6021,2.5691,79.5862,9.6537,93.1943
Bittensor,percentChange30d,SVM,0.7830,21.5508,3.2031,80.5309,7.3812,54.4818
Bittensor,percentChange30d,DecisionTree,0.8720,12.7082,2.6064,79.8018,9.7760,95.5701
Bittensor,percentChange30d,RandomForest,0.8760,12.3180,2.5305,79.7536,9.7476,95.0166
Bittensor,percentChange60d,LinearRegression,0.5857,21.0507,3.6707,73.3004,5.6277,31.6706
Bittensor,percentChange60d,KNN,0.7707,11.6505,2.5131,73.0201,6.3014,39.7081
Bittensor,percentChange60d,SVM,0.6338,18.6050,3.2602,73.8455,4.7550,22.6101
Bittensor,percentChange60d,DecisionTree,0.7752,11.4231,2.5213,73.1907,6.4587,41.7152
Bittensor,percentChange60d,RandomForest,0.7749,11.4380,2.5205,73.2069,6.4379,41.4462
Bittensor,percentChange90d,LinearRegression,0.2563,10.4416,2.4840,14.5776,1.9420,3.7716
Bittensor,percentChange90d,KNN,0.5563,6.2302,1.8259,14.3272,2.8169,7.9349
Bittensor,percentChange90d,SVM,0.4282,8.0286,2.1201,14.5451,2.2836,5.2148
Bittensor,percentChange90d,DecisionTree,0.5762,5.9503,1.7419,14.2827,2.7782,7.7185
Bittensor,percentChange90d,RandomForest,0.5741,5.9799,1.7480,14.2791,2.7667,7.6547
